Accession,Description,Length,Part_1,Part_2,Part_3
KF736876.1,"13794. Turkey astrovirus isolate PL/TK/G118/2011 polymerase (ORF1b) gene, partial cds",566 bp linear RNA,"13794. Turkey astrovirus isolate PL/TK/G118/2011 polymerase (ORF1b) gene, partial cds",,
KF736875.1,"13795. Turkey astrovirus isolate PL/TK/G094/2011 polymerase (ORF1b) gene, partial cds",575 bp linear RNA,"13795. Turkey astrovirus isolate PL/TK/G094/2011 polymerase (ORF1b) gene, partial cds",,
KF736874.1,"13796. Turkey astrovirus isolate PL/TK/G091/2011 polymerase (ORF1b) gene, partial cds",576 bp linear RNA,"13796. Turkey astrovirus isolate PL/TK/G091/2011 polymerase (ORF1b) gene, partial cds",,
KF736873.1,"13797. Turkey astrovirus isolate PL/TK/G082B/2011 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13797. Turkey astrovirus isolate PL/TK/G082B/2011 polymerase (ORF1b) gene, partial cds",,
KF736872.1,"13798. Turkey astrovirus isolate PL/TK/G068/2011 polymerase (ORF1b) gene, partial cds",577 bp linear RNA,"13798. Turkey astrovirus isolate PL/TK/G068/2011 polymerase (ORF1b) gene, partial cds",,
KF736871.1,"13799. Turkey astrovirus isolate PL/TK/G065/2011 polymerase (ORF1b) gene, partial cds",580 bp linear RNA,"13799. Turkey astrovirus isolate PL/TK/G065/2011 polymerase (ORF1b) gene, partial cds",,
KF736870.1,"13800. Turkey astrovirus isolate PL/TK/G021/2011 polymerase (ORF1b) gene, partial cds",571 bp linear RNA,"13800. Turkey astrovirus isolate PL/TK/G021/2011 polymerase (ORF1b) gene, partial cds",,
KF736869.1,"13801. Turkey astrovirus isolate PL/TK/G009/2011 polymerase (ORF1b) gene, partial cds",579 bp linear RNA,"13801. Turkey astrovirus isolate PL/TK/G009/2011 polymerase (ORF1b) gene, partial cds",,
KF736868.1,"13802. Turkey astrovirus isolate PL/TK/G008/2011 polymerase (ORF1b) gene, partial cds",579 bp linear RNA,"13802. Turkey astrovirus isolate PL/TK/G008/2011 polymerase (ORF1b) gene, partial cds",,
KF736867.1,"13803. Turkey astrovirus isolate PL/TK/G007/2011 polymerase (ORF1b) gene, partial cds",577 bp linear RNA,"13803. Turkey astrovirus isolate PL/TK/G007/2011 polymerase (ORF1b) gene, partial cds",,
KF736866.1,"13804. Turkey astrovirus isolate PL/TK/G006/2011 polymerase (ORF1b) gene, partial cds",577 bp linear RNA,"13804. Turkey astrovirus isolate PL/TK/G006/2011 polymerase (ORF1b) gene, partial cds",,
KF736865.1,"13805. Turkey astrovirus isolate PL/TK/G123/2010 polymerase (ORF1b) gene, partial cds",578 bp linear RNA,"13805. Turkey astrovirus isolate PL/TK/G123/2010 polymerase (ORF1b) gene, partial cds",,
KF736864.1,"13806. Turkey astrovirus isolate PL/TK/G091/2010 polymerase (ORF1b) gene, partial cds",575 bp linear RNA,"13806. Turkey astrovirus isolate PL/TK/G091/2010 polymerase (ORF1b) gene, partial cds",,
KF736863.1,"13807. Turkey astrovirus isolate PL/TK/G063/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13807. Turkey astrovirus isolate PL/TK/G063/2010 polymerase (ORF1b) gene, partial cds",,
KF736862.1,"13808. Turkey astrovirus isolate PL/TK/G051/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13808. Turkey astrovirus isolate PL/TK/G051/2010 polymerase (ORF1b) gene, partial cds",,
KF736861.1,"13809. Turkey astrovirus isolate PL/TK/G041/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13809. Turkey astrovirus isolate PL/TK/G041/2010 polymerase (ORF1b) gene, partial cds",,
KF736860.1,"13810. Turkey astrovirus isolate PL/TK/G036/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13810. Turkey astrovirus isolate PL/TK/G036/2010 polymerase (ORF1b) gene, partial cds",,
KF736859.1,"13811. Turkey astrovirus isolate PL/TK/G004/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13811. Turkey astrovirus isolate PL/TK/G004/2010 polymerase (ORF1b) gene, partial cds",,
KF736858.1,"13812. Turkey astrovirus isolate PL/TK/G143/2009 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13812. Turkey astrovirus isolate PL/TK/G143/2009 polymerase (ORF1b) gene, partial cds",,
KF736857.1,"13813. Turkey astrovirus isolate PL/TK/G089/2009 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13813. Turkey astrovirus isolate PL/TK/G089/2009 polymerase (ORF1b) gene, partial cds",,
KF736856.1,"13814. Turkey astrovirus isolate PL/TK/G080/2009 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13814. Turkey astrovirus isolate PL/TK/G080/2009 polymerase (ORF1b) gene, partial cds",,
KF736855.1,"13815. Turkey astrovirus isolate PL/TK/G079/2009 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13815. Turkey astrovirus isolate PL/TK/G079/2009 polymerase (ORF1b) gene, partial cds",,
KF736854.1,"13816. Turkey astrovirus isolate PL/TK/G049/2009 polymerase (ORF1b) gene, partial cds",570 bp linear RNA,"13816. Turkey astrovirus isolate PL/TK/G049/2009 polymerase (ORF1b) gene, partial cds",,
KF736853.1,"13817. Turkey astrovirus isolate PL/TK/G031/2009 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13817. Turkey astrovirus isolate PL/TK/G031/2009 polymerase (ORF1b) gene, partial cds",,
KF736852.1,"13818. Turkey astrovirus isolate PL/TK/G023/2009 polymerase (ORF1b) gene, partial cds",574 bp linear RNA,"13818. Turkey astrovirus isolate PL/TK/G023/2009 polymerase (ORF1b) gene, partial cds",,
KC967120.1,"13819. Turkey astrovirus 2 isolate PL/TK/G108/2012 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13819. Turkey astrovirus 2 isolate PL/TK/G108/2012 polymerase (ORF1b) gene, partial cds",,
KC967119.1,"13820. Turkey astrovirus 2 isolate PL/TK/G094/2012 polymerase (ORF1b) gene, partial cds",573 bp linear RNA,"13820. Turkey astrovirus 2 isolate PL/TK/G094/2012 polymerase (ORF1b) gene, partial cds",,
KC967118.1,"13821. Turkey astrovirus 1 isolate PL/TK/G093/2012 polymerase (ORF1b) gene, partial cds",569 bp linear RNA,"13821. Turkey astrovirus 1 isolate PL/TK/G093/2012 polymerase (ORF1b) gene, partial cds",,
KC967117.1,"13822. Turkey astrovirus 2 isolate PL/TK/G082/2012 polymerase (ORF1b) gene, partial cds",580 bp linear RNA,"13822. Turkey astrovirus 2 isolate PL/TK/G082/2012 polymerase (ORF1b) gene, partial cds",,
KC967116.1,"13823. Turkey astrovirus 2 isolate PL/TK/G027/2012 polymerase (ORF1b) gene, partial cds",579 bp linear RNA,"13823. Turkey astrovirus 2 isolate PL/TK/G027/2012 polymerase (ORF1b) gene, partial cds",,
KC967115.1,"13824. Turkey astrovirus 2 isolate PL/TK/G135/2011 polymerase (ORF1b) gene, partial cds",554 bp linear RNA,"13824. Turkey astrovirus 2 isolate PL/TK/G135/2011 polymerase (ORF1b) gene, partial cds",,
KC967114.1,"13825. Turkey astrovirus 2 isolate PL/TK/G082/2011 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13825. Turkey astrovirus 2 isolate PL/TK/G082/2011 polymerase (ORF1b) gene, partial cds",,
KC967113.1,"13826. Turkey astrovirus 1 isolate PL/TK/G051/2011 polymerase (ORF1b) gene, partial cds",571 bp linear RNA,"13826. Turkey astrovirus 1 isolate PL/TK/G051/2011 polymerase (ORF1b) gene, partial cds",,
KC967112.1,"13827. Turkey astrovirus 1 isolate PL/TK/G043/2011 polymerase (ORF1b) gene, partial cds",569 bp linear RNA,"13827. Turkey astrovirus 1 isolate PL/TK/G043/2011 polymerase (ORF1b) gene, partial cds",,
KC967111.1,"13828. Turkey astrovirus 2 isolate PL/TK/G015/2011 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13828. Turkey astrovirus 2 isolate PL/TK/G015/2011 polymerase (ORF1b) gene, partial cds",,
KC967110.1,"13829. Turkey astrovirus 2 isolate PL/TK/G087/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13829. Turkey astrovirus 2 isolate PL/TK/G087/2010 polymerase (ORF1b) gene, partial cds",,
KC967109.1,"13830. Turkey astrovirus 1 isolate PL/TK/G069/2010 polymerase (ORF1b) gene, partial cds",569 bp linear RNA,"13830. Turkey astrovirus 1 isolate PL/TK/G069/2010 polymerase (ORF1b) gene, partial cds",,
KC967108.1,"13831. Turkey astrovirus 2 isolate PL/TK/G050/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13831. Turkey astrovirus 2 isolate PL/TK/G050/2010 polymerase (ORF1b) gene, partial cds",,
KC967107.1,"13832. Turkey astrovirus 2 isolate PL/TK/G047/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13832. Turkey astrovirus 2 isolate PL/TK/G047/2010 polymerase (ORF1b) gene, partial cds",,
KC967106.1,"13833. Turkey astrovirus 2 isolate PL/TK/G011/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13833. Turkey astrovirus 2 isolate PL/TK/G011/2010 polymerase (ORF1b) gene, partial cds",,
KC967105.1,"13834. Turkey astrovirus 2 isolate PL/TK/G008/2010 polymerase (ORF1b) gene, partial cds",572 bp linear RNA,"13834. Turkey astrovirus 2 isolate PL/TK/G008/2010 polymerase (ORF1b) gene, partial cds",,
KC967104.1,"13835. Turkey astrovirus 2 isolate PL/TK/G104/2009 polymerase (ORF1b) gene, partial cds",571 bp linear RNA,"13835. Turkey astrovirus 2 isolate PL/TK/G104/2009 polymerase (ORF1b) gene, partial cds",,
KC967103.1,"13836. Turkey astrovirus 1 isolate PL/TK/G085/2009 polymerase (ORF1b) gene, partial cds",570 bp linear RNA,"13836. Turkey astrovirus 1 isolate PL/TK/G085/2009 polymerase (ORF1b) gene, partial cds",,
KC967102.1,"13837. Turkey astrovirus 2 isolate PL/TK/G068/2009 polymerase (ORF1b) gene, partial cds",579 bp linear RNA,"13837. Turkey astrovirus 2 isolate PL/TK/G068/2009 polymerase (ORF1b) gene, partial cds",,
KC967101.1,"13838. Turkey astrovirus 2 isolate PL/TK/G025/2009 polymerase (ORF1b) gene, partial cds",575 bp linear RNA,"13838. Turkey astrovirus 2 isolate PL/TK/G025/2009 polymerase (ORF1b) gene, partial cds",,
KC967100.1,"13839. Turkey astrovirus 2 isolate PL/TK/G021/2009 polymerase (ORF1b) gene, partial cds",570 bp linear RNA,"13839. Turkey astrovirus 2 isolate PL/TK/G021/2009 polymerase (ORF1b) gene, partial cds",,
KF920601.1,"13840. Turkey astrovirus 2 isolate TAstV-2/Brazil/2004/USP-30 RdRp polymerase-like gene, partial sequence",709 bp linear RNA,"13840. Turkey astrovirus 2 isolate TAstV-2/Brazil/2004/USP-30 RdRp polymerase-like gene, partial sequence",,
KF211429.1,"13841. Mamastrovirus 3 strain 84211-3 capsid protein gene, partial cds",376 bp linear RNA,"13841. Mamastrovirus 3 strain 84211-3 capsid protein gene, partial cds",,
KF211428.1,"13842. Mamastrovirus 3 strain 1728-7 capsid protein gene, partial cds",376 bp linear RNA,"13842. Mamastrovirus 3 strain 1728-7 capsid protein gene, partial cds",,
KF211427.1,"13843. Mamastrovirus 3 strain 1533-3 capsid protein gene, partial cds",376 bp linear RNA,"13843. Mamastrovirus 3 strain 1533-3 capsid protein gene, partial cds",,
KC593414.1,"13844. Chicken astrovirus isolate Kr/ADL122057-CAstV/2012 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13844. Chicken astrovirus isolate Kr/ADL122057-CAstV/2012 polymerase (ORF1b) gene, partial cds",,
KC593413.1,"13845. Chicken astrovirus isolate Kr/ADL121238-CAstV/2012 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13845. Chicken astrovirus isolate Kr/ADL121238-CAstV/2012 polymerase (ORF1b) gene, partial cds",,
KC593412.1,"13846. Chicken astrovirus isolate Kr/ADL121215-CAstV/2012 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13846. Chicken astrovirus isolate Kr/ADL121215-CAstV/2012 polymerase (ORF1b) gene, partial cds",,
KC593411.1,"13847. Chicken astrovirus isolate Kr/ADL120915-CAstV/2012 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13847. Chicken astrovirus isolate Kr/ADL120915-CAstV/2012 polymerase (ORF1b) gene, partial cds",,
KC593410.1,"13848. Chicken astrovirus isolate Kr/ADL120913-CAstV/2012 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13848. Chicken astrovirus isolate Kr/ADL120913-CAstV/2012 polymerase (ORF1b) gene, partial cds",,
KC593409.1,"13849. Chicken astrovirus isolate Kr/ADL120688-CAstV/2012 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13849. Chicken astrovirus isolate Kr/ADL120688-CAstV/2012 polymerase (ORF1b) gene, partial cds",,
KC593408.1,"13850. Chicken astrovirus isolate Kr/ADL120203-CAstV/2012 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13850. Chicken astrovirus isolate Kr/ADL120203-CAstV/2012 polymerase (ORF1b) gene, partial cds",,
KC593407.1,"13851. Chicken astrovirus isolate Kr/ADL112782-CAstV/2011 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13851. Chicken astrovirus isolate Kr/ADL112782-CAstV/2011 polymerase (ORF1b) gene, partial cds",,
KC593406.1,"13852. Chicken astrovirus isolate Kr/ADL111234-CAstV/2011 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13852. Chicken astrovirus isolate Kr/ADL111234-CAstV/2011 polymerase (ORF1b) gene, partial cds",,
KC593405.1,"13853. Chicken astrovirus isolate Kr/ADL110638-CAstV/2011 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13853. Chicken astrovirus isolate Kr/ADL110638-CAstV/2011 polymerase (ORF1b) gene, partial cds",,
KC593404.1,"13854. Chicken astrovirus isolate Kr/ADL110096-CAstV/2011 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13854. Chicken astrovirus isolate Kr/ADL110096-CAstV/2011 polymerase (ORF1b) gene, partial cds",,
KC593403.1,"13855. Chicken astrovirus isolate Kr/ADL110001-CAstV/2011 polymerase (ORF1b) gene, partial cds",330 bp linear RNA,"13855. Chicken astrovirus isolate Kr/ADL110001-CAstV/2011 polymerase (ORF1b) gene, partial cds",,
KC593401.1,"13856. Avian nephritis virus isolate Kr/ADL120915-ANV/2012 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13856. Avian nephritis virus isolate Kr/ADL120915-ANV/2012 polymerase (ORF1b) gene, partial cds",,
KC593400.1,"13857. Avian nephritis virus isolate Kr/ADL120886-ANV/2012 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13857. Avian nephritis virus isolate Kr/ADL120886-ANV/2012 polymerase (ORF1b) gene, partial cds",,
KC593399.1,"13858. Avian nephritis virus isolate Kr/ADL120688-ANV/2012 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13858. Avian nephritis virus isolate Kr/ADL120688-ANV/2012 polymerase (ORF1b) gene, partial cds",,
KC593398.1,"13859. Avian nephritis virus isolate Kr/ADL120686-ANV/2012 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13859. Avian nephritis virus isolate Kr/ADL120686-ANV/2012 polymerase (ORF1b) gene, partial cds",,
KC593397.1,"13860. Avian nephritis virus isolate Kr/ADL120203-ANV/2012 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13860. Avian nephritis virus isolate Kr/ADL120203-ANV/2012 polymerase (ORF1b) gene, partial cds",,
KC593396.1,"13861. Avian nephritis virus isolate Kr/ADL120035-ANV/2012 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13861. Avian nephritis virus isolate Kr/ADL120035-ANV/2012 polymerase (ORF1b) gene, partial cds",,
KC593395.1,"13862. Avian nephritis virus isolate Kr/ADL120026-ANV/2012 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13862. Avian nephritis virus isolate Kr/ADL120026-ANV/2012 polymerase (ORF1b) gene, partial cds",,
KC593394.1,"13863. Avian nephritis virus isolate Kr/ADL120019-ANV/2012 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13863. Avian nephritis virus isolate Kr/ADL120019-ANV/2012 polymerase (ORF1b) gene, partial cds",,
KC593393.1,"13864. Avian nephritis virus isolate Kr/ADL112782-ANV/2011 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13864. Avian nephritis virus isolate Kr/ADL112782-ANV/2011 polymerase (ORF1b) gene, partial cds",,
KC593392.1,"13865. Avian nephritis virus isolate Kr/ADL112770-ANV/2011 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13865. Avian nephritis virus isolate Kr/ADL112770-ANV/2011 polymerase (ORF1b) gene, partial cds",,
KC593391.1,"13866. Avian nephritis virus isolate Kr/ADL111234-ANV/2011 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13866. Avian nephritis virus isolate Kr/ADL111234-ANV/2011 polymerase (ORF1b) gene, partial cds",,
KC593390.1,"13867. Avian nephritis virus isolate Kr/ADL110638-ANV/2011 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13867. Avian nephritis virus isolate Kr/ADL110638-ANV/2011 polymerase (ORF1b) gene, partial cds",,
KC593389.1,"13868. Avian nephritis virus isolate Kr/ADL110096-ANV/2011 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13868. Avian nephritis virus isolate Kr/ADL110096-ANV/2011 polymerase (ORF1b) gene, partial cds",,
KC593388.1,"13869. Avian nephritis virus isolate Kr/ADL102655-ANV/2010 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13869. Avian nephritis virus isolate Kr/ADL102655-ANV/2010 polymerase (ORF1b) gene, partial cds",,
KC593387.1,"13870. Avian nephritis virus isolate Kr/ADL101813-ANV/2010 polymerase (ORF1b) gene, partial cds",327 bp linear RNA,"13870. Avian nephritis virus isolate Kr/ADL101813-ANV/2010 polymerase (ORF1b) gene, partial cds",,
JN635502.1,"13871. Chicken astrovirus isolate Kr/ADL102655-1/2010 polymerase gene, partial cds",362 bp linear RNA,"13871. Chicken astrovirus isolate Kr/ADL102655-1/2010 polymerase gene, partial cds",,
KF663754.1,"13872. Canine astrovirus strain CAstV-K48 capsid gene, partial cds",237 bp linear RNA,"13872. Canine astrovirus strain CAstV-K48 capsid gene, partial cds",,
KF663753.1,"13873. Canine astrovirus strain CAstV-K47 capsid gene, partial cds",237 bp linear RNA,"13873. Canine astrovirus strain CAstV-K47 capsid gene, partial cds",,
KF417713.1,"13874. Astrovirus MLB1 strain Hu/ITA/2007/PR326/MLB1 RNA-dependent RNA polymerase (ORF1b) gene, partial cds; and capsid protein (ORF2) gene, complete cds","2,930 bp linear RNA","13874. Astrovirus MLB1 strain Hu/ITA/2007/PR326/MLB1 RNA-dependent RNA polymerase (ORF1b) gene, partial cds"," and capsid protein (ORF2) gene, complete cds",
KF420154.1,"13875. Human astrovirus 6 isolate HAstV/D11-023/2011/BGD capsid protein gene, partial cds",594 bp linear RNA,"13875. Human astrovirus 6 isolate HAstV/D11-023/2011/BGD capsid protein gene, partial cds",,
KF420153.1,"13876. Human astrovirus 3 isolate HAstV/M12-062/2012/BGD capsid protein gene, partial cds",590 bp linear RNA,"13876. Human astrovirus 3 isolate HAstV/M12-062/2012/BGD capsid protein gene, partial cds",,
KF420152.1,"13877. Human astrovirus 5 isolate HAstV/K12-017/2012/BGD capsid protein gene, partial cds",621 bp linear RNA,"13877. Human astrovirus 5 isolate HAstV/K12-017/2012/BGD capsid protein gene, partial cds",,
KF420151.1,"13878. Human astrovirus 5 isolate HAstV/K12-013/2012/BGD capsid protein gene, partial cds",578 bp linear RNA,"13878. Human astrovirus 5 isolate HAstV/K12-013/2012/BGD capsid protein gene, partial cds",,
KF420150.1,"13879. Human astrovirus 5 isolate HAstV/K12-001/2012/BGD capsid protein gene, partial cds",586 bp linear RNA,"13879. Human astrovirus 5 isolate HAstV/K12-001/2012/BGD capsid protein gene, partial cds",,
KF420149.1,"13880. Human astrovirus 1 isolate HAstV/D11-108/2011/BGD capsid protein gene, partial cds",632 bp linear RNA,"13880. Human astrovirus 1 isolate HAstV/D11-108/2011/BGD capsid protein gene, partial cds",,
KF420148.1,"13881. Human astrovirus 1 isolate HAstV/D11-054/2011/BGD capsid protein gene, partial cds",685 bp linear RNA,"13881. Human astrovirus 1 isolate HAstV/D11-054/2011/BGD capsid protein gene, partial cds",,
KF420147.1,"13882. Human astrovirus 1 isolate HAstV/D11-026/2011/BGD capsid protein gene, partial cds",652 bp linear RNA,"13882. Human astrovirus 1 isolate HAstV/D11-026/2011/BGD capsid protein gene, partial cds",,
KF420146.1,"13883. Human astrovirus 1 isolate HAstV/D11-007/2010/BGD capsid protein gene, partial cds",669 bp linear RNA,"13883. Human astrovirus 1 isolate HAstV/D11-007/2010/BGD capsid protein gene, partial cds",,
KF420145.1,"13884. Human astrovirus 1 isolate HAstV/D10-098/2010/BGD capsid protein gene, partial cds",668 bp linear RNA,"13884. Human astrovirus 1 isolate HAstV/D10-098/2010/BGD capsid protein gene, partial cds",,
KF420144.1,"13885. Human astrovirus 1 isolate HAstV/D10-003/2010/BGD capsid protein gene, partial cds",673 bp linear RNA,"13885. Human astrovirus 1 isolate HAstV/D10-003/2010/BGD capsid protein gene, partial cds",,
KF420143.1,"13886. Human astrovirus 1 isolate HAstV/M12-063/2010/BGD capsid protein gene, partial cds",630 bp linear RNA,"13886. Human astrovirus 1 isolate HAstV/M12-063/2010/BGD capsid protein gene, partial cds",,
KF420142.1,"13887. Human astrovirus 1 isolate HAstV/M12-058/2012/BGD capsid protein gene, partial cds",628 bp linear RNA,"13887. Human astrovirus 1 isolate HAstV/M12-058/2012/BGD capsid protein gene, partial cds",,
KF420141.1,"13888. Human astrovirus 1 isolate HAstV/M11-064/2011/BGD capsid protein gene, partial cds",597 bp linear RNA,"13888. Human astrovirus 1 isolate HAstV/M11-064/2011/BGD capsid protein gene, partial cds",,
KF420140.1,"13889. Human astrovirus 1 isolate HAstV/M12-007/2012/BGD capsid protein gene, partial cds",597 bp linear RNA,"13889. Human astrovirus 1 isolate HAstV/M12-007/2012/BGD capsid protein gene, partial cds",,
KF420139.1,"13890. Human astrovirus 1 isolate HAstV/M12-002/2012/BGD capsid protein gene, partial cds",645 bp linear RNA,"13890. Human astrovirus 1 isolate HAstV/M12-002/2012/BGD capsid protein gene, partial cds",,
KF420138.1,"13891. Human astrovirus 1 isolate HAstV/M10-075/2010/BGD capsid protein gene, partial cds",634 bp linear RNA,"13891. Human astrovirus 1 isolate HAstV/M10-075/2010/BGD capsid protein gene, partial cds",,
KF420137.1,"13892. Human astrovirus 2 isolate HAstV/M10-005/2010/BGD capsid protein gene, partial cds",643 bp linear RNA,"13892. Human astrovirus 2 isolate HAstV/M10-005/2010/BGD capsid protein gene, partial cds",,
KF420136.1,"13893. Human astrovirus 1 isolate HAstV/K12-055/2012/BGD capsid protein gene, partial cds",604 bp linear RNA,"13893. Human astrovirus 1 isolate HAstV/K12-055/2012/BGD capsid protein gene, partial cds",,
KF420135.1,"13894. Human astrovirus 1 isolate HAstV/K12-051/2012/BGD capsid protein gene, partial cds",623 bp linear RNA,"13894. Human astrovirus 1 isolate HAstV/K12-051/2012/BGD capsid protein gene, partial cds",,
KF420134.1,"13895. Human astrovirus 1 isolate HAstV/K11-033/2011/BGD capsid protein gene, partial cds",604 bp linear RNA,"13895. Human astrovirus 1 isolate HAstV/K11-033/2011/BGD capsid protein gene, partial cds",,
KF420133.1,"13896. Human astrovirus 1 isolate HAstV/K10-066/2010/BGD capsid protein gene, partial cds",544 bp linear RNA,"13896. Human astrovirus 1 isolate HAstV/K10-066/2010/BGD capsid protein gene, partial cds",,
KF420132.1,"13897. Human astrovirus 1 isolate HAstV/K10-021/2010/BGD capsid protein gene, partial cds",625 bp linear RNA,"13897. Human astrovirus 1 isolate HAstV/K10-021/2010/BGD capsid protein gene, partial cds",,
KF420131.1,"13898. Human astrovirus 1 isolate HAstV/K10-004/2010/BGD capsid protein gene, partial cds",652 bp linear RNA,"13898. Human astrovirus 1 isolate HAstV/K10-004/2010/BGD capsid protein gene, partial cds",,
KF420130.1,"13899. Human astrovirus 1 isolate HAstV/D12-128/2012/BGD capsid protein gene, partial cds",673 bp linear RNA,"13899. Human astrovirus 1 isolate HAstV/D12-128/2012/BGD capsid protein gene, partial cds",,
KF420129.1,"13900. Human astrovirus 2 isolate HAstV/D12-100/2012/BGD capsid protein gene, partial cds",648 bp linear RNA,"13900. Human astrovirus 2 isolate HAstV/D12-100/2012/BGD capsid protein gene, partial cds",,
JX083977.1,"13901. Turkey astrovirus 2 isolate CRO-188 capsid protein gene, partial cds",426 bp linear RNA,"13901. Turkey astrovirus 2 isolate CRO-188 capsid protein gene, partial cds",,
JX083976.1,"13902. Turkey astrovirus 2 isolate CRO-194 capsid protein gene, partial cds",426 bp linear RNA,"13902. Turkey astrovirus 2 isolate CRO-194 capsid protein gene, partial cds",,
JX083975.1,"13903. Turkey astrovirus 2 isolate CRO-06 capsid protein gene, partial cds",426 bp linear RNA,"13903. Turkey astrovirus 2 isolate CRO-06 capsid protein gene, partial cds",,
JX083974.1,"13904. Turkey astrovirus 2 isolate CRO-05 capsid protein gene, partial cds",426 bp linear RNA,"13904. Turkey astrovirus 2 isolate CRO-05 capsid protein gene, partial cds",,
JX083973.1,"13905. Turkey astrovirus 2 isolate CRO-552 capsid protein gene, partial cds",426 bp linear RNA,"13905. Turkey astrovirus 2 isolate CRO-552 capsid protein gene, partial cds",,
JX083972.1,"13906. Turkey astrovirus 2 isolate CRO-201 capsid protein gene, partial cds",426 bp linear RNA,"13906. Turkey astrovirus 2 isolate CRO-201 capsid protein gene, partial cds",,
JX083971.1,"13907. Turkey astrovirus 2 isolate CRO-169 capsid protein gene, partial cds",426 bp linear RNA,"13907. Turkey astrovirus 2 isolate CRO-169 capsid protein gene, partial cds",,
JX083970.1,"13908. Turkey astrovirus 2 isolate CRO-10 capsid protein gene, partial cds",426 bp linear RNA,"13908. Turkey astrovirus 2 isolate CRO-10 capsid protein gene, partial cds",,
KC999716.1,"13909. Murine astrovirus isolate Jap/UniR/BALBc RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13909. Murine astrovirus isolate Jap/UniR/BALBc RNA-dependent RNA polymerase gene, partial cds",,
KC999715.1,"13910. Murine astrovirus isolate Jap/UniR/B6J RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13910. Murine astrovirus isolate Jap/UniR/B6J RNA-dependent RNA polymerase gene, partial cds",,
KC999714.1,"13911. Murine astrovirus isolate Jap/UniO/BALBc RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13911. Murine astrovirus isolate Jap/UniO/BALBc RNA-dependent RNA polymerase gene, partial cds",,
KC999713.1,"13912. Murine astrovirus isolate Jap/UniM/3 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13912. Murine astrovirus isolate Jap/UniM/3 RNA-dependent RNA polymerase gene, partial cds",,
KC999712.1,"13913. Murine astrovirus isolate Jap/UniM/2 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13913. Murine astrovirus isolate Jap/UniM/2 RNA-dependent RNA polymerase gene, partial cds",,
KC999711.1,"13914. Murine astrovirus isolate Jap/UniM/1 RNA-dependent RNA polymerase gene, partial cds",321 bp linear RNA,"13914. Murine astrovirus isolate Jap/UniM/1 RNA-dependent RNA polymerase gene, partial cds",,
